Unnamed: 0,Administration,NAME,Type,titre,titre_encoded,IREL_url,Coordonnees,latitude,longitude,Administration_bis,Lieu-dit_bis
7976,Sénégal,Louga,Cercle ,LougaCercle (Sénégal),LougaCercle%20%28S%C3%A9n%C3%A9gal%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=LougaCercle%20%28S%C3%A9n%C3%A9gal%29,,,,,
7977,Sénégal,Louga ,,Louga (Sénégal),Louga%20%28S%C3%A9n%C3%A9gal%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Louga%20%28S%C3%A9n%C3%A9gal%29,15.6187 -16.2244,15.6187,-16.2244,,
7978,Bénin,Lougba ,,Lougba (Bénin),Lougba%20%28B%C3%A9nin%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Lougba%20%28B%C3%A9nin%29,8.3790 1.7890,8.3790,1.7890,,
7979,Algérie,Lougman ,,Lougman (Algérie),Lougman%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Lougman%20%28Alg%C3%A9rie%29,35.7712 4.3383,35.7712,4.3383,,
7980,Algérie,Louhou ,,Louhou (Algérie),Louhou%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Louhou%20%28Alg%C3%A9rie%29,35.2500 1.1299,35.2500,1.1299,,
7981,Corrèze ; France,Louignac ,,Louignac (Corrèze ; France),Louignac%20%28Corr%C3%A8ze%20%3B%20France%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Louignac%20%28Corr%C3%A8ze%20%3B%20France%29,45.2283 1.2814,45.2283,1.2814,,
7982,"Cap-Breton, Île du",Louisbourg ,,Louisbourg (Cap-BretonÎle du),Louisbourg%20%28Cap-Breton%C3%8Ele%20du%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Louisbourg%20%28Cap-Breton%C3%8Ele%20du%29,,,,,
7983,Canada,Louiseville ,,Louiseville (Canada),Louiseville%20%28Canada%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Louiseville%20%28Canada%29,46.2601 -72.9430,46.2601,-72.9430,,
7984,,Louisiane,Colonie espagnole',LouisianeColonie espagnole,LouisianeColonie%20espagnole,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=LouisianeColonie%20espagnole,,,,,
7985,,Louisiane,Colonie française',LouisianeColonie française,LouisianeColonie%20fran%C3%A7aise,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=LouisianeColonie%20fran%C3%A7aise,,,,,
7986,États-Unis,Louisiane,État ,LouisianeÉtat (États-Unis),Louisiane%C3%89tat%20%28%C3%89tats-Unis%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Louisiane%C3%89tat%20%28%C3%89tats-Unis%29,,,,,
7987,Biloxi ; Mississippi ; États-Unis,Louis,Fort ,LouisFort (Biloxi ; Mississippi ; États-Unis),LouisFort%20%28Biloxi%20%3B%20Mississippi%20%3B%20%C3%89tats-Unis%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=LouisFort%20%28Biloxi%20%3B%20Mississippi%20%3B%20%C3%89tats-Unis%29,,,,,
7988,"Fort-de-France ; Martinique, Île de la",Louis,Fort ,LouisFort (Fort-de-France ; MartiniqueÎle de la),LouisFort%20%28Fort-de-France%20%3B%20Martinique%C3%8Ele%20de%20la%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=LouisFort%20%28Fort-de-France%20%3B%20Martinique%C3%8Ele%20de%20la%29,,,,,
7989,"Le Gosier ; Guadeloupe, Île de la",Louis,Fort ,LouisFort (Le Gosier ; GuadeloupeÎle de la),LouisFort%20%28Le%20Gosier%20%3B%20Guadeloupe%C3%8Ele%20de%20la%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=LouisFort%20%28Le%20Gosier%20%3B%20Guadeloupe%C3%8Ele%20de%20la%29,,,,,
7990,Mobile ; Alabama ; États-Unis,Louis,Fort ,LouisFort (Mobile ; Alabama ; États-Unis),LouisFort%20%28Mobile%20%3B%20Alabama%20%3B%20%C3%89tats-Unis%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=LouisFort%20%28Mobile%20%3B%20Alabama%20%3B%20%C3%89tats-Unis%29,,,,,
7991,République du Congo,Loukoléla ,,Loukoléla (République du Congo),Loukol%C3%A9la%20%28R%C3%A9publique%20du%20Congo%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Loukol%C3%A9la%20%28R%C3%A9publique%20du%20Congo%29,-1.0967 16.9652,-1.0967,16.9652,,
7992,République du Congo,Loulombo ,,Loulombo (République du Congo),Loulombo%20%28R%C3%A9publique%20du%20Congo%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Loulombo%20%28R%C3%A9publique%20du%20Congo%29,,,,,
7993,Cameroun,Loum/Manjo,Route ,Loum/ManjoRoute (Cameroun),Loum/ManjoRoute%20%28Cameroun%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Loum/ManjoRoute%20%28Cameroun%29,,,,,
7994,Cameroun,Loum/N\'Kongsamba,Route ,Loum/N\KongsambaRoute (Cameroun),Loum/N%5CKongsambaRoute%20%28Cameroun%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Loum/N%5CKongsambaRoute%20%28Cameroun%29,,,,,
7995,Hérault ; France,Loupian ,,Loupian (Hérault ; France),Loupian%20%28H%C3%A9rault%20%3B%20France%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Loupian%20%28H%C3%A9rault%20%3B%20France%29,43.4508 3.6144,43.4508,3.6144,,
7996,Hautes-Pyrénées ; France,Lourdes ,,Lourdes (Hautes-Pyrénées ; France),Lourdes%20%28Hautes-Pyr%C3%A9n%C3%A9es%20%3B%20France%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Lourdes%20%28Hautes-Pyr%C3%A9n%C3%A9es%20%3B%20France%29,43.0977 -0.0474,43.0977,-0.0474,,
7997,Algérie,Lourmel ,,Lourmel (Algérie),Lourmel%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Lourmel%20%28Alg%C3%A9rie%29,35.5244 -1.0158,35.5244,-1.0158,,
7998,République du Congo,Loussala ,,Loussala (République du Congo),Loussala%20%28R%C3%A9publique%20du%20Congo%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Loussala%20%28R%C3%A9publique%20du%20Congo%29,-4.7833 11.9289,-4.7833,11.9289,,
7999,République du Congo,Loutété ,,Loutété (République du Congo),Lout%C3%A9t%C3%A9%20%28R%C3%A9publique%20du%20Congo%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Lout%C3%A9t%C3%A9%20%28R%C3%A9publique%20du%20Congo%29,,,,,
8000,Belgique,Louvain ,,Louvain (Belgique),Louvain%20%28Belgique%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Louvain%20%28Belgique%29,50.8833 4.7000,50.8833,4.7000,,
8001,Haute-Marne ; France,Louvemont ,,Louvemont (Haute-Marne ; France),Louvemont%20%28Haute-Marne%20%3B%20France%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Louvemont%20%28Haute-Marne%20%3B%20France%29,48.5519 4.9100,48.5519,4.9100,,
8002,Ardennes ; France,Louvergny ,,Louvergny (Ardennes ; France),Louvergny%20%28Ardennes%20%3B%20France%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Louvergny%20%28Ardennes%20%3B%20France%29,49.5529 4.7403,49.5529,4.7403,,
8003,Eure ; France,Louviers ,,Louviers (Eure ; France),Louviers%20%28Eure%20%3B%20France%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Louviers%20%28Eure%20%3B%20France%29,49.2161 1.1664,49.2161,1.1664,,
8004,Nord ; France,Louvignies-Quesnoy ,,Louvignies-Quesnoy (Nord ; France),Louvignies-Quesnoy%20%28Nord%20%3B%20France%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Louvignies-Quesnoy%20%28Nord%20%3B%20France%29,50.2247 3.6433,50.2247,3.6433,,
8005,Moselle ; France,Louvigny ,,Louvigny (Moselle ; France),Louvigny%20%28Moselle%20%3B%20France%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Louvigny%20%28Moselle%20%3B%20France%29,48.9625 6.1850,48.9625,6.1850,,
8006,République du Congo,Louvila ,,Louvila (République du Congo),Louvila%20%28R%C3%A9publique%20du%20Congo%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Louvila%20%28R%C3%A9publique%20du%20Congo%29,,,,,
8007,Thaïlande,Louvo ,,Louvo (Thaïlande),Louvo%20%28Tha%C3%AFlande%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Louvo%20%28Tha%C3%AFlande%29,14.7995 100.6530,14.7995,100.6530,,
8008,Val-d\'Oise ; France,Louvres ,,Louvres (Val-d\Oise ; France),Louvres%20%28Val-d%5COise%20%3B%20France%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Louvres%20%28Val-d%5COise%20%3B%20France%29,,,,,
8009,Algérie,Loverdo ,,Loverdo (Algérie),Loverdo%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Loverdo%20%28Alg%C3%A9rie%29,36.2535 2.8463,36.2535,2.8463,,
8010,Djibouti,Loyada ,,Loyada (Djibouti),Loyada%20%28Djibouti%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Loyada%20%28Djibouti%29,11.4667 43.2500,11.4667,43.2500,,
8011,"Nouvelle-Calédonie, Île de la",Loyauté,Îles ,LoyautéÎles (Nouvelle-CalédonieÎle de la),Loyaut%C3%A9%C3%8Eles%20%28Nouvelle-Cal%C3%A9donie%C3%8Ele%20de%20la%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Loyaut%C3%A9%C3%8Eles%20%28Nouvelle-Cal%C3%A9donie%C3%8Ele%20de%20la%29,,,,,
8012,Remire-Monjoly ; Guyane française,Loyola,Habitation ,LoyolaHabitation (Remire-Monjoly ; Guyane française),LoyolaHabitation%20%28Remire-Monjoly%20%3B%20Guyane%20fran%C3%A7aise%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=LoyolaHabitation%20%28Remire-Monjoly%20%3B%20Guyane%20fran%C3%A7aise%29,,,,,
8013,Côte d\'Ivoire,Loza,Lagune de ,LozaLagune de (Côte d\Ivoire),LozaLagune%20de%20%28C%C3%B4te%20d%5CIvoire%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=LozaLagune%20de%20%28C%C3%B4te%20d%5CIvoire%29,,,,,
8014,France,Lozère,Département ,LozèreDépartement (France),Loz%C3%A8reD%C3%A9partement%20%28France%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Loz%C3%A8reD%C3%A9partement%20%28France%29,,,,,
8015,Angola,Luanda ,,Luanda (Angola),Luanda%20%28Angola%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Luanda%20%28Angola%29,-8.8430 13.3000,-8.8430,13.3000,,
8016,Laos/Vietnam,Luang Prabang/Phu Dien,Route ,Luang Prabang/Phu DienRoute (Laos/Vietnam),Luang%20Prabang/Phu%20DienRoute%20%28Laos/Vietnam%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Luang%20Prabang/Phu%20DienRoute%20%28Laos/Vietnam%29,,,,,
8017,Laos,Luang Prabang/Vientiane,Route ,Luang Prabang/VientianeRoute (Laos),Luang%20Prabang/VientianeRoute%20%28Laos%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Luang%20Prabang/VientianeRoute%20%28Laos%29,,,,,
8018,Laos,Luang Prabang ,,Luang Prabang (Laos),Luang%20Prabang%20%28Laos%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Luang%20Prabang%20%28Laos%29,19.8856 102.1347,19.8856,102.1347,,
8019,Laos,Luang Prabang,Province ,Luang PrabangProvince (Laos),Luang%20PrabangProvince%20%28Laos%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Luang%20PrabangProvince%20%28Laos%29,,,,,
8020,Laos,Luang Prabang,Royaume ,Luang PrabangRoyaume (Laos),Luang%20PrabangRoyaume%20%28Laos%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Luang%20PrabangRoyaume%20%28Laos%29,,,,,
8021,Indre ; France,Luant ,,Luant (Indre ; France),Luant%20%28Indre%20%3B%20France%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Luant%20%28Indre%20%3B%20France%29,46.7330 1.5579,46.7330,1.5579,,
8022,Pologne,Lublin ,,Lublin (Pologne),Lublin%20%28Pologne%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Lublin%20%28Pologne%29,51.2333 22.5667,51.2333,22.5667,,
8023,République démocratique du Congo,Lubumbashi ,,Lubumbashi (République démocratique du Congo),Lubumbashi%20%28R%C3%A9publique%20d%C3%A9mocratique%20du%20Congo%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Lubumbashi%20%28R%C3%A9publique%20d%C3%A9mocratique%20du%20Congo%29,-11.6715 27.4792,-11.6715,27.4792,,
8024,Guyane française,Lucas,Montagne ,LucasMontagne (Guyane française),LucasMontagne%20%28Guyane%20fran%C3%A7aise%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=LucasMontagne%20%28Guyane%20fran%C3%A7aise%29,,,,,
8025,Suisse,Lucerne ,,Lucerne (Suisse),Lucerne%20%28Suisse%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Lucerne%20%28Suisse%29,47.0500 8.3000,47.0500,8.3000,,
8026,Algérie,Lucet ,,Lucet (Algérie),Lucet%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Lucet%20%28Alg%C3%A9rie%29,36.3927 5.9928,36.3927,5.9928,,
8027,Inde,Lucknow ,,Lucknow (Inde),Lucknow%20%28Inde%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Lucknow%20%28Inde%29,26.8606 80.9158,26.8606,80.9158,,
8028,Vendée ; France,Luçon ,,Luçon (Vendée ; France),Lu%C3%A7on%20%28Vend%C3%A9e%20%3B%20France%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Lu%C3%A7on%20%28Vend%C3%A9e%20%3B%20France%29,46.4556 -1.1647,46.4556,-1.1647,,
8029,Vietnam,Luc Nam,Province ,Luc NamProvince (Vietnam),Luc%20NamProvince%20%28Vietnam%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Luc%20NamProvince%20%28Vietnam%29,,,,,
8030,Vietnam,Luc Yen ,,Luc Yen (Vietnam),Luc%20Yen%20%28Vietnam%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Luc%20Yen%20%28Vietnam%29,22.1031 104.7028,22.1031,104.7028,,
8031,Gironde ; France,Ludon-Médoc ,,Ludon-Médoc (Gironde ; France),Ludon-M%C3%A9doc%20%28Gironde%20%3B%20France%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Ludon-M%C3%A9doc%20%28Gironde%20%3B%20France%29,44.9831 -0.6025,44.9831,-0.6025,,
8032,Allemagne,Lübeck ,,Lübeck (Allemagne),L%C3%BCbeck%20%28Allemagne%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=L%C3%BCbeck%20%28Allemagne%29,53.8686 10.6876,53.8686,10.6876,,
8033,Landes ; France,Luglon ,,Luglon (Landes ; France),Luglon%20%28Landes%20%3B%20France%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Luglon%20%28Landes%20%3B%20France%29,44.0831 -0.7164,44.0831,-0.7164,,
8034,Haute-Corse ; France,Lugo-di-Nazza ,,Lugo-di-Nazza (Haute-Corse ; France),Lugo-di-Nazza%20%28Haute-Corse%20%3B%20France%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Lugo-di-Nazza%20%28Haute-Corse%20%3B%20France%29,42.0750 9.3014,42.0750,9.3014,,
8035,Haute-Savoie ; France,Lugrin ,,Lugrin (Haute-Savoie ; France),Lugrin%20%28Haute-Savoie%20%3B%20France%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Lugrin%20%28Haute-Savoie%20%3B%20France%29,46.4033 6.6674,46.4033,6.6674,,
8036,Nigeria,Lukodja ,,Lukodja (Nigeria),Lukodja%20%28Nigeria%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Lukodja%20%28Nigeria%29,7.796882 6.740481,7.796882,6.740481,,
8037,Haute-Corse ; France,Lumio ,,Lumio (Haute-Corse ; France),Lumio%20%28Haute-Corse%20%3B%20France%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Lumio%20%28Haute-Corse%20%3B%20France%29,42.5794 8.8339,42.5794,8.8339,,
8038,Hérault ; France,Lunel ,,Lunel (Hérault ; France),Lunel%20%28H%C3%A9rault%20%3B%20France%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Lunel%20%28H%C3%A9rault%20%3B%20France%29,43.6778 4.1361,43.6778,4.1361,,
8039,Meurthe-et-Moselle ; France,Lunéville ,,Lunéville (Meurthe-et-Moselle ; France),Lun%C3%A9ville%20%28Meurthe-et-Moselle%20%3B%20France%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Lun%C3%A9ville%20%28Meurthe-et-Moselle%20%3B%20France%29,48.5912 6.4954,48.5912,6.4954,,
8040,Vietnam,Luong Quan ,,Luong Quan (Vietnam),Luong%20Quan%20%28Vietnam%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Luong%20Quan%20%28Vietnam%29,21.1726 105.5988,21.1726,105.5988,,
8041,Vietnam,Luong Tam ,,Luong Tam (Vietnam),Luong%20Tam%20%28Vietnam%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Luong%20Tam%20%28Vietnam%29,21.5833 104.8000,21.5833,104.8000,,
8042,Vietnam,Luong Yen ,,Luong Yen (Vietnam),Luong%20Yen%20%28Vietnam%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Luong%20Yen%20%28Vietnam%29,17.4333 106.6333,17.4333,106.6333,,
8043,Haute-Saône ; France,Lure ,,Lure (Haute-Saône ; France),Lure%20%28Haute-Sa%C3%B4ne%20%3B%20France%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Lure%20%28Haute-Sa%C3%B4ne%20%3B%20France%29,47.6850 6.4958,47.6850,6.4958,,
8044,Loire ; France,Luré ,,Luré (Loire ; France),Lur%C3%A9%20%28Loire%20%3B%20France%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Lur%C3%A9%20%28Loire%20%3B%20France%29,45.8822 3.9378,45.8822,3.9378,,
8045,Vienne ; France,Lusignan ,,Lusignan (Vienne ; France),Lusignan%20%28Vienne%20%3B%20France%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Lusignan%20%28Vienne%20%3B%20France%29,46.4360 0.1262,46.4360,0.1262,,
8046,Canada,Lussaudière,Seigneurie ,LussaudièreSeigneurie (Canada),Lussaudi%C3%A8reSeigneurie%20%28Canada%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Lussaudi%C3%A8reSeigneurie%20%28Canada%29,,,,,
8047,Algérie,Lutaud ,,Lutaud (Algérie),Lutaud%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Lutaud%20%28Alg%C3%A9rie%29,35.7260 6.6634,35.7260,6.6634,,
8048,Moselle ; France,Luttange ,,Luttange (Moselle ; France),Luttange%20%28Moselle%20%3B%20France%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Luttange%20%28Moselle%20%3B%20France%29,49.2706 6.3119,49.2706,6.3119,,
8049,,Luxembourg',,Luxembourg,Luxembourg,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Luxembourg,49.7370 6.1175,49.7370,6.1175,,
8050,Haute-Saône ; France,Luxeuil-les-Bains ,,Luxeuil-les-Bains (Haute-Saône ; France),Luxeuil-les-Bains%20%28Haute-Sa%C3%B4ne%20%3B%20France%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Luxeuil-les-Bains%20%28Haute-Sa%C3%B4ne%20%3B%20France%29,47.8150 6.3808,47.8150,6.3808,,
8051,Haute-Saône ; France,Luxeuil ,,Luxeuil (Haute-Saône ; France),Luxeuil%20%28Haute-Sa%C3%B4ne%20%3B%20France%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Luxeuil%20%28Haute-Sa%C3%B4ne%20%3B%20France%29,47.8150 6.3808,47.8150,6.3808,,
8052,Val-d’Oise ; France,Luzarches ,,Luzarches (Val-d’Oise ; France),Luzarches%20%28Val-d%E2%80%99Oise%20%3B%20France%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Luzarches%20%28Val-d%E2%80%99Oise%20%3B%20France%29,49.1167 2.4167,49.1167,2.4167,,
8053,Suisse,Luzern ,,Luzern (Suisse),Luzern%20%28Suisse%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Luzern%20%28Suisse%29,47.0500 8.3000,47.0500,8.3000,,
8054,"Philippines, Archipel des",Luzon,Île ,LuzonÎle (PhilippinesArchipel des),Luzon%C3%8Ele%20%28PhilippinesArchipel%20des%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Luzon%C3%8Ele%20%28PhilippinesArchipel%20des%29,,,,,
8055,Haute-Marne ; France,Luzy-sur-Marne ,,Luzy-sur-Marne (Haute-Marne ; France),Luzy-sur-Marne%20%28Haute-Marne%20%3B%20France%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Luzy-sur-Marne%20%28Haute-Marne%20%3B%20France%29,48.0578 5.1861,48.0578,5.1861,,
8056,Maroc,Lyautey ,,Lyautey (Maroc),Lyautey%20%28Maroc%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Lyautey%20%28Maroc%29,34.2610 -6.5802,34.2610,-6.5802,,
8057,Nord ; France,Lynde ,,Lynde (Nord ; France),Lynde%20%28Nord%20%3B%20France%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Lynde%20%28Nord%20%3B%20France%29,50.7128 2.4207,50.7128,2.4207,,
8058,Sénégal,Lyndiane ,,Lyndiane (Sénégal),Lyndiane%20%28S%C3%A9n%C3%A9gal%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Lyndiane%20%28S%C3%A9n%C3%A9gal%29,14.1858 -16.1605,14.1858,-16.1605,,
8059,France,Lyonnais,Région géographique ,LyonnaisRégion géographique (France),LyonnaisR%C3%A9gion%20g%C3%A9ographique%20%28France%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=LyonnaisR%C3%A9gion%20g%C3%A9ographique%20%28France%29,,,,,
8060,Eure ; France,Lyons-la-Forêt ,,Lyons-la-Forêt (Eure ; France),Lyons-la-For%C3%AAt%20%28Eure%20%3B%20France%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Lyons-la-For%C3%AAt%20%28Eure%20%3B%20France%29,49.4003 1.4769,49.4003,1.4769,,
8061,Rhône ; France,Lyon ,,Lyon (Rhône ; France),Lyon%20%28Rh%C3%B4ne%20%3B%20France%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Lyon%20%28Rh%C3%B4ne%20%3B%20France%29,45.7485 4.8467,45.7485,4.8467,,
8062,"Martinique, Île de la",L\'Abîme ,,L\Abîme (MartiniqueÎle de la),L%5CAb%C3%AEme%20%28Martinique%C3%8Ele%20de%20la%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=L%5CAb%C3%AEme%20%28Martinique%C3%8Ele%20de%20la%29,,,,,
8063,"Léogane ; Saint-Domingue, Île de",L\'Acul ,,L\Acul (Léogane ; Saint-DomingueÎle de),L%5CAcul%20%28L%C3%A9ogane%20%3B%20Saint-Domingue%C3%8Ele%20de%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=L%5CAcul%20%28L%C3%A9ogane%20%3B%20Saint-Domingue%C3%8Ele%20de%29,,,,,
8064,"Saint-Domingue, Île de",L\'Acul ,,L\Acul (Saint-DomingueÎle de),L%5CAcul%20%28Saint-Domingue%C3%8Ele%20de%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=L%5CAcul%20%28Saint-Domingue%C3%8Ele%20de%29,,,,,
8065,Alger ; Algérie,L\'Agha,Quartier ,L\AghaQuartier (Alger ; Algérie),L%5CAghaQuartier%20%28Alger%20%3B%20Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=L%5CAghaQuartier%20%28Alger%20%3B%20Alg%C3%A9rie%29,,,,,
8066,La Verrière ; Yvelines ; France,L\'Agiot ,,L\Agiot (La Verrière ; Yvelines ; France),L%5CAgiot%20%28La%20Verri%C3%A8re%20%3B%20Yvelines%20%3B%20France%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=L%5CAgiot%20%28La%20Verri%C3%A8re%20%3B%20Yvelines%20%3B%20France%29,,,,,
8067,Orne ; France,L\'Aigle ,,L\Aigle (Orne ; France),L%5CAigle%20%28Orne%20%3B%20France%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=L%5CAigle%20%28Orne%20%3B%20France%29,,,,,
8068,"Martinique, Île de la",L\'Ajoupa-Bouillon ,,L\Ajoupa-Bouillon (MartiniqueÎle de la),L%5CAjoupa-Bouillon%20%28Martinique%C3%8Ele%20de%20la%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=L%5CAjoupa-Bouillon%20%28Martinique%C3%8Ele%20de%20la%29,,,,,
8069,Pyrénées-Orientales ; France,L\'Albère ,,L\Albère (Pyrénées-Orientales ; France),L%5CAlb%C3%A8re%20%28Pyr%C3%A9n%C3%A9es-Orientales%20%3B%20France%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=L%5CAlb%C3%A8re%20%28Pyr%C3%A9n%C3%A9es-Orientales%20%3B%20France%29,,,,,
8070,Algérie,L\'Alelik ,,L\Alelik (Algérie),L%5CAlelik%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=L%5CAlelik%20%28Alg%C3%A9rie%29,,,,,
8071,Haut-Rhin ; France,L\'Allemand-Rombach ,,L\Allemand-Rombach (Haut-Rhin ; France),L%5CAllemand-Rombach%20%28Haut-Rhin%20%3B%20France%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=L%5CAllemand-Rombach%20%28Haut-Rhin%20%3B%20France%29,,,,,
