,Administration,Lieu-dit,Type,Inutile
7522,Indre-et-Loire ; France,Lerné ,,
7523,Dordogne ; France,Les-Eyzies-de-Tayac-Sireuil ,,
7524,Mauritanie,Lesbiar,Lieu-dit ,
7525,Jura ; France,Leschères ,,
7526,Ain ; France,Lescheroux ,,
7527,Finistère ; France,Lesneven ,,
7528,Nord ; France,Lesquin ,,
7529,Charente ; France,Lessac ,,
7530,Manche ; France,Lessay ,,
7531,République centrafricaine,Lessé,Cours d\eau ,
7532,Loir-et-Cher ; France,Lestiou ,,
7533,"Guadeloupe, Île de la",Les Abimes ,,
7534,"Guadeloupe, Île de la",Les Abymes ,,
7535,"Le Prêcheur ; Martinique, Île de la",Les Abymes ,,
7536,Louisiane ; États-Unis,Les Adayes ,,
7537,Hérault ; France,Les Aires ,,
7538,Cher ; France,Les Aix-d\Angillon ,,
7539,Louisiane ; États-Unis,Les Allemands,Lieu-dit ,
7540,Yvelines ; France,Les Alluets-le-Roi ,,
7541,"Martinique, Île de la",Les Ances-d’Arlet ,,
7542,Eure ; France,Les Andelys ,,
7543,"Saint-Domingue, Île de",Les Anglais ,,
7544,"Martinique, Île de la",Les Anses-d’Arlet ,,
7545,Kourou ; Guyane française,Les Anses ,,
7546,"Saint-Domingue, Île de",Les Anses ,,
7547,Algérie,Les Attafs ,,
7548,"Réunion, Île de la",Les Avirons ,,
7549,,Les Bahamas,,
7550,République du Congo,Les Bandas ,,
7551,"Grand-Bourg ; Marie-Galante, Île",Les Basses ,,
7552,Haute-Saône ; France,Les Bâties ,,
7553,Algérie,Les Braz,Commune mixte ,
7554,"Saint-Domingue, Île de",Les Cayes-du-Fond-de-l\Île-à-Vache ,,
7555,"Saint-Domingue, Île de",Les Cayes-Saint-Louis ,,
7556,"Saint-Domingue, Île de",Les Cayes ,,
7557,Orne ; France,Les Champeaux ,,
7558,Savoie ; France,Les Chavannes-en-Maurienne ,,
7559,"Guadeloupe, Île de la",Les Citronniers,Lieu-dit ,
7560,"Saint-Domingue, Île de",Les Côteaux ,,
7561,Algérie,Les Djalis ,,
7562,"Limonade ; Saint-Domingue, Île de",Les Écrevisses,Habitation ,
7563,Meuse ; France,Les Éparges ,,
7564,Alger ; Algérie,Les Eucalyptus,Quartier ,
7565,Algérie,Les Eulma,Commune mixte ,
7566,"Saint-Domingue, Île de",Les Fourcqs ,,
7567,Doubs ; France,Les Fourgs ,,
7568,Algérie,Les Frênes ,,
7569,"Saint-Domingue, Île de",Les Gonaïves ,,
7570,"Guadeloupe, Île de la",Les Habitants ,,
7571,Guyane française,Les Hattes,Camp ,
7572,Lozère ; France,Les Hermaux ,,
7573,Algérie,Les Heumis ,,
7574,Algérie,Les Heuraouas ,,
7575,Algérie,Les Issers ,,
7576,Marne ; France,Les Istres-et-Bury ,,
7577,Algérie,Les Lacs ,,
7578,Algérie,Les Libérés ,,
7579,Algérie,Les Maâdid,Commune mixte ,
7580,Haute-Saône ; France,Les Magny ,,
7581,,Les Maldives,,
7582,Bouches-du-Rhône ; France,Les Martigues ,,
7583,Canada,Les Mines ,,
7584,Essonne ; France,Les Molières ,,
7585,Yvelines ; France,Les Mureaux ,,
7586,Algérie,Les Ouadhia,Commune mixte ,
7587,"Gourbeyre ; Guadeloupe, Île de la",Les Palmistes ,,
7588,Algérie,Les Pêcheurs ,,
7589,,Les Philippines,,
7590,"Anse-à-Veau ; Saint-Domingue, Île de",Les Pins ,,
7591,"Martinique, Île de la",Les Pitons,Montagne ,
7592,Guyane française,Les Roches,Camp ,
7593,Vendée ; France,Les Sables-d\Olonne ,,
7594,"Sainte-Anne ; Guadeloupe, Île de la",Les Salines ,,
7595,Haute-Vienne ; France,Les Salles-Lavauguyon ,,
7596,Algérie,Les Santons ,,
7597,République du Congo,Les Saras ,,
7598,"Grenade, Île de",Les Sauteurs ,,
7599,"Léogane ; Saint-Domingue, Île de",Les Sources ,,
7600,Eure ; France,Les Thilliers-en-Vexin ,,
7601,Alger ; Algérie,Les Trembles ,,
7602,Oran ; Algérie,Les Trembles ,,
7603,"Martinique, Île de la",Les Trois-Bourgs ,,
7604,"Martinique, Île de la",Les Trois-Îlets ,,
7605,"Martinique, Île de la",Les Trois Islets ,,
7606,"Guadeloupe, Île de la",Les Trois Rivières ,,
7607,Ardèche ; France,Les Vans ,,
7608,"L\'Arcahaye ; Saint-Domingue, Île de",Les Vases ,,
7609,"Saint-Marc ; Saint-Domingue, Île de",Les Vases ,,
7610,"Dondon ; Saint-Domingue, Île de",Les Vaseux ,,
7611,Algérie,Les Zardezas ,,
7612,Algérie,Letourneux ,,
7613,,Lettonie,,
7614,Bas-Rhin ; France,Leutenheim ,,
7615,,Leuven,,
7616,Algérie,Levacher ,,
7617,Hauts-de-Seine ; France,Levallois-Perret ,,
7618,,Levant,Échelles du,
7619,,Levant,Région géographique,
7620,Algérie,Levasseur ,,
7621,"Martinique, Île de la",Levassor,Canal ,
7622,"Martinique, Île de la",Levassor,Cours d\eau ,
7623,Hussein Dey ; Algérie,Léveilley,Quartier ,
7624,Eure-et-Loir ; France,Lèves ,,
7625,Doubs ; France,Levier ,,
7626,New York ; États-Unis,Lévis,Fort ,
7627,Canada,Lévrard,Seigneurie ,
7628,Ardennes ; France,Levrezy ,,
7629,Mauritanie,Lévrier,Baie du ,
7630,Indre ; France,Levroux ,,
7631,Sénégal,Leybar ,,
7632,"Martinique, Île de la",Lézarde Rivière,Cours d\eau ,
7633,"Martinique, Île de la",Lézarde,Cours d\eau ,
7634,Côtes-d’Armor ; France,Lézardrieux ,,
7635,Deux-Sèvres ; France,Lezay ,,
7636,Maine-et-Loire ; France,Lézigné ,,
7637,Puy-de-Dôme ; France,Lezoux ,,
7638,"Guadeloupe, Île de la",Le Baillif ,,
7639,"Guadeloupe, Île de la",Le Bananier ,,
7640,Var ; France,Le Beausset ,,
7641,Indre ; France,Le Blanc ,,
7642,Waterford ; Pennsylvanie ; États-Unis,Le Boeuf,Fort ,
7643,Cambodge,Le Bokor ,,
7644,"Saint-Domingue, Île de",Le Borgne ,,
7645,Ariège ; France,Le Bosc ,,
7646,"L\'Arcahaye ; Saint-Domingue, Île de",Le Boucassin ,,
7647,Haute-Loire ; France,Le Bouchet-Saint-Nicolas ,,
7648,Isère ; France,Le Bourg-d\Oisans ,,
7649,Dordogne ; France,Le Bugue ,,
7650,Égypte,Le Caire ,,
7651,Canada,Le Cap ,,
7652,"Saint-Domingue, Île de",Le Cap ,,
7653,Algérie,Le Caravansérail ,,
7654,"Martinique, Île de la",Le Carbet/Saint-Pierre,Route ,
7655,"Guadeloupe, Île de la",Le Carbet,Cours d\eau ,
7656,"Martinique, Île de la",Le Carbet,Cours d\eau ,
7657,"Martinique, Île de la",Le Carbet ,,
7658,"Sainte-Lucie, Île",Le Carénage ,,
7659,Alpes-de-Haute-Provence ; France,Le Castellard-Mélan ,,
7660,Var ; France,Le Castellet ,,
7661,Nord ; France,Le Cateau-Cambrésis ,,
7662,Drôme ; France,Le Chaffal ,,
7663,Charente-Maritime ; France,Le Château-d\Oléron ,,
7664,Creuse ; France,Le Chauchet ,,
7665,"Saint-Denis ; Réunion, Île de la",Le Chaudron ,,
7666,Ardennes ; France,Le Chesne-Populeux ,,
7667,Vosges ; France,Le Clerjus ,,
7668,"Marie-Galante, Île",Le Colombier,Habitation ,
7669,Finistère ; France,Le Conquet ,,
7670,Algérie,Le Corso ,,
7671,La Teste-de-Buch ; Gironde ; France,Le Courneau ,,
7672,Saône-et-Loire ; France,Le Creusot ,,
7673,Loire-Atlantique ; France,Le Croisic ,,
7674,Jura ; France,Le Deschaux ,,
7675,"Martinique, Île de la",Le Diamant ,,
7676,Haute-Vienne ; France,Le Dorat ,,
7677,Morbihan ; France,Le Faouët ,,
7678,Finistère ; France,Le Faou ,,
7679,Oise ; France,Le Fay-Saint-Quentin ,,
7680,Oise ; France,Le Fayel ,,
7681,Algérie,Le Figuier ,,
7682,Algérie,Le Fondouk ,,
7683,"Grand-Bourg ; Marie-Galante, Île",Le Fort ,,
7684,"Grenade, Île de",Le Fort ,,
7685,"Anse-à-Veau ; Saint-Domingue, Île de",Le Fourcq ,,
7686,Calvados ; France,Le Fournet ,,
7687,"Martinique, Île de la",Le François/Le Lamentin,Route ,
7688,"Martinique, Île de la",Le François ,,
7689,"Guadeloupe, Île de la",Le Galion,Cours d\eau ,
7690,"La Trinité ; Martinique, Île de la",Le Galion ,,
7691,"Guadeloupe, Île de la",Le Gosier ,,
7692,"Guadeloupe, Île de la",Le Gozier ,,
7693,Isère ; France,Le Grand-Lemps ,,
7694,Sarthe ; France,Le Grand-Lucé ,,
7695,"Martinique, Île de la",Le Gros-Morne ,,
7696,Algérie,Le Guelta ,,
7697,Algérie,Le Hamma ,,
7698,Alger ; Algérie,Le Hamma,Quartier ,
7699,Seine-Maritime ; France,Le Havre-de-Grâce ,,
7700,Seine-Maritime ; France,Le Havre ,,
7701,Bas-Rhin ; France,Le Hohwald ,,
7702,Tunisie,Le Kef ,,
7703,Algérie,Le Khroub ,,
7704,Algérie,Le Kouif ,,
7705,Algérie,Le Kreider ,,
7706,Val-de-Marne ; France,Le Kremlin-Bicêtre ,,
7707,Tchad,Le Lac,Subdivision ,
7708,"Martinique, Île de la",Le Lamentin,Cours d\eau ,
7709,"Martinique, Île de la",Le Lamentin ,,
7710,Matoury ; Guyane française,Le Larivot ,,
7711,Alpes-de-Haute-Provence,Le Lauzet-Ubaye ,,
7712,Var ; France,Le Lavandou ,,
7713,Côtes-d\'Armor ; France,Le Légué ,,
7714,"Martinique, Île de la",Le Lorrain ,,
7715,Var ; France,Le Luc ,,
7716,"Petit-Canal ; Guadeloupe, Île de la",Le Mancenillier ,,
7717,Sarthe ; France,Le Mans ,,
7718,"Martinique, Île de la",Le Marigot/Sainte-Marie,Route ,
7719,"Martinique, Île de la",Le Marigot ,,
7720,"Saint-Martin, Île",Le Marigot ,,
7721,"Vieux-Habitants ; Guadeloupe, Île de la",Le Marigot ,,
7722,"Martinique, Île de la",Le Marin/Rivière-Pilote,Route ,
7723,"Martinique, Île de la",Le Marin ,,
7724,"Guadeloupe, Île de la",Le Marquisat ,,
7725,Allier ; France,Le Mayet-d\École ,,
7726,Côtes-d\'Armor ; France,Le Merzer ,,
7727,Manche ; France,Le Mesnillard ,,
7728,Aveyron ; France,Le Monastère ,,
7729,Haute-Loire ; France,Le Monastier-sur-Gazeille ,,
7730,Hautes-Alpes ; France,Le Monêtier-les-Bains ,,
7731,"Nouvelle-Calédonie, Île de la",Le Mont-Dore ,,
7732,Manche ; France,Le Mont-Saint-Michel ,,
7733,Creuse ; France,Le Monteil-au-Vicomte ,,
7734,Cantal ; France,Le Monteil ,,
7735,Haute-Loire ; France,Le Monteil ,,
7736,"Martinique, Île de la",Le Morne-Rouge ,,
7737,"Martinique, Île de la",Le Morne-Vert ,,
7738,"Saint-Pierre ; Martinique, Île de la",Le Mouillage,Quartier ,
7739,"Guadeloupe, Île de la",Le Moule/Pointe-à-Pitre,Voie ferrée ,
7740,"Guadeloupe, Île de la",Le Moule ,,
7741,Aisne ; France,Le Nouvion-en-Thiérache ,,
7742,"Saint-Claude ; Guadeloupe, Île de la",Le Parc ,,
7743,Loire-Atlantique ; France,Le Pellerin ,,
7744,Guyane française,Le Père,Îlet ,
7745,Indre ; France,Le Pin ,,
7746,Grèce,Le Pirée ,,
7747,Ariège ; France,Le Pla ,,
7748,Val-d’Oise ; France,Le Plessis-Bouchard ,,
7749,Seine-et-Marne ; France,Le Plessis-l\Évêque ,,
7750,"Réunion, Île de la",Le Port ,,
7751,"Martinique, Île de la",Le Prêcheur ,,
7752,Haute-Loire ; France,Le Puy-en-Velay ,,
7753,Maine-et-Loire ; France,Le Puy-Notre-Dame ,,
7754,Pas-de-Calais ; France,Le Quesnoy-en-Artois ,,
7755,Nord ; France,Le Quesnoy ,,
7756,Somme ; France,Le Quesnoy ,,
7757,Mayenne ; France,Le Ribay ,,
7758,"Martinique, Île de la",Le Robert ,,
7759,"Martinique, Île de la",Le Sud ,,
7760,"Réunion, Île de la",Le Tampon ,,
7761,Algérie,Le Tarf ,,
7762,Ardèche ; France,Le Teil ,,
7763,Algérie,Le Telagh ,,
7764,Algérie,Le Telagh,Arrondissement ,
7765,Alger ; Algérie,Le Telemly,Quartier ,
7766,Loire-Atlantique ; France,Le Temple-de-Bretagne ,,
7767,Lot-et-Garonne ; France,Le Temple-sur-Lot ,,
7768,Deux-Sèvres ; France,Le Temple ,,
7769,Gironde ; France,Le Temple ,,
7770,Loir-et-Cher ; France,Le Temple ,,
7771,Vietnam,Le Thuy ,,
7772,Isère ; France,Le Touvet ,,
7773,Canada,Le Tremblay,Seigneurie ,
7774,Haute-Saône ; France,Le Tremblois ,,
7775,Seine-Maritime ; France,Le Tréport ,,
7776,"Saint-Domingue, Île de",Le Trou ,,
7777,Vosges ; France,Le Val-d\Ajol ,,
7778,Manche ; France,Le Val-Saint-Père ,,
7779,"Martinique, Île de la",Le Vasseur,Cours d\eau ,
7780,"Martinique, Île de la",Le Vauclin ,,
7781,Gard ; France,Le Vigan ,,
7782,Sarthe ; France,Lhomme ,,
7783,Burkina Faso,Liaba ,,
7784,Oise ; France,Liancourt ,,
7785,,Liban,,
7786,République centrafricaine,Libanga ,,
7787,République du Congo,Libembé ,,
7788,,Liberia,,
7789,Mauritanie,Liboirat ,,
7790,Gabon,Liboumbi,Cours d\eau ,
7791,Gironde ; France,Libourne ,,
7792,Gabon/République du Congo,Libreville/Ouesso,Voie ferrée ,
7793,Gabon,Libreville,Circonscription ,
7794,Gabon,Libreville ,,
7795,,Libye,,
7796,Niger,Lido ,,
7797,Algérie,Liébert ,,
7798,Belgique,Liège ,,
7799,Chine,Lieou Tcheou ,,
7800,Haut-Rhin ; France,Lièpvre ,,
7801,Ille-et-Vilaine ; France,Liffré ,,
7802,"Loyauté, Îles",Lifou,Île ,
7803,Loire-Atlantique ; France,Ligné ,,
7804,Yonne ; France,Ligny-le-Châtel ,,
7805,Italie ; Région,Liguria ,,
7806,Italie,Ligurie,Région géographique ,
7807,République du Congo,Likouala-Mossaka,Circonscription ,
7808,République du Congo,Likouala aux Herbes,Cours d\eau ,
7809,République du Congo,Likouala Mossaka,Cours d\eau ,
7810,République du Congo,Likouala,Circonscription ,
7811,République du Congo,Likouala,Cours d\eau ,
7812,"Saint-Claude ; Guadeloupe, Île de la",Lilet,Habitation ,
7813,Seine-Maritime ; France,Lillebonne ,,
7814,Pas-de-Calais ; France,Lillers ,,
7815,Nord ; France,Lille ,,
7816,Yvelines ; France,Limay ,,
7817,Pérou,Lima ,,
7818,Sierra Leone,Limba,Région géographique ,
7819,"Saint-Domingue, Île de",Limbé ,,
7820,Val-de-Marne ; France,Limeil-Brévannes ,,
7821,Irlande,Limerick ,,
7822,Dordogne ; France,Limeuil ,,
7823,Haute-Vienne ; France,Limoges ,,
7824,"Saint-Domingue, Île de",Limonade ,,
7825,France,Limousin,Région géographique ,
7826,Aude ; France,Limoux ,,
7827,Seine-Maritime ; France,Limpiville ,,
7828,Canada,Linctot,Seigneurie ,
7829,Sénégal,Linguère/Louga,Voie ferrée ,
7830,Sénégal,Linguère ,,
7831,Sénégal,Linndiane ,,
7832,République du Congo,Liouesso ,,
7833,Burkina Faso,Liptako,Région géographique ,
7834,République du Congo,Liranga ,,
7835,Portugal,Lisboa ,,
7836,Portugal,Lisbonne ,,
7837,Calvados ; France,Lisieux ,,
7838,"Saint-Claude ; Guadeloupe, Île de la",Lislet,Habitation ,
7839,Dordogne ; France,Lisle ,,
7840,République du Congo,Lissongo ,,
7841,"Saint-Martin, Île",Little Bay,Anse ,
7842,"Terre-Neuve, Île de",Little Bay ,,
7843,Ohio ; États-Unis,Little Miami River,Cours d\eau ,
7844,Algérie,Littré ,,
7845,,Lituanie,,
7846,Chine,Liuzhou ,,
7847,Royaume-Uni,Liverpool ,,
7848,Italie,Livorno ,,
7849,Italie,Livourne ,,
7850,Bas-Rhin ; France,Lixhausen ,,
7851,Seine-et-Marne ; France,Lizy-sur-Ourcq ,,
7852,Espagne,Lleida ,,
7853,Espagne,Lloret de Mar ,,
7854,Angola,Loanda ,,
7855,République du Congo,Loango ,,
7856,République centrafricaine,Lobaye,Circonscription ,
7857,République centrafricaine,Lobaye,Cours d\eau ,
7858,Angola,Lobito ,,
7859,Burkina Faso,Lobi,Région géographique ,
7860,République du Congo,Loboko ,,
7861,Côtes-d\'Armor ; France,Locarn ,,
7862,Aube ; France,Loches-sur-Ource ,,
7863,Indre-et-Loire ; France,Loches ,,
7864,Morbihan ; France,Locminé ,,
7865,Finistère ; France,Locronan ,,
7866,Vietnam,Loc Binh ,,
7867,Vietnam,Loc Giang ,,
7868,Vietnam,Loc Ninh/Saigon,Voie ferrée ,
7869,Hérault ; France,Lodève ,,
7870,Algérie,Lodi ,,
7871,République du Congo,Loémé,Cours d\eau ,
7872,Cameroun,Logone-et-Chari,Circonscription ,
7873,Cameroun,Logone,Circonscription ,
7874,Tchad,Logone,Circonscription ,
7875,Cameroun/Tchad,Logone,Cours d\eau ,
7876,Mali,Logo,Région géographique ,
7877,Eure-et-Loir ; France,Logron ,,
7878,"Guadeloupe, Île de la",Lohéac,Comté ,
7879,France,Loir-et-Cher,Département ,
7880,France,Loire-Atlantique,Département ,
7881,France,Loire-Inférieure,Département ,
7882,France,Loiret,Département ,
7883,France,Loire,Département ,
7884,Charente-Maritime ; France,Loix ,,
7885,Burkina Faso,Lokhoso ,,
7886,Nigeria,Lokoja ,,
7887,Burkina Faso,Lokosso ,,
7888,Cameroun,Lom-et-Kadeï,Circonscription ,
7889,Italie ; Région,Lombardia ,,
7890,Italie,Lombardie,Région géographique ,
7891,Gers ; France,Lombez ,,
7892,"Indonésie, Archipel d\'",Lombok,Île ,
7893,Togo,Lomé/Palimé,Voie ferrée ,
7894,Togo,Lomé,Cercle ,
7895,Togo,Lomé,Subdivision ,
7896,Togo,Lomé ,,
7897,Cameroun,Lomié ,,
7898,Cameroun,Lomié,Subdivision ,
7899,Nord ; France,Lomme ,,
7900,Irlande,Londonderry ,,
7901,Irlande,Londondery ,,
7902,Royaume-Uni,London ,,
7903,Royaume-Uni,Londres ,,
7904,Canada,Long-Sault,Lieu-dit ,
7905,Meuse ; France,Longeville-en-Barrois ,,
7906,Moselle ; France,Longeville-lès-Metz ,,
7907,Moselle ; France,Longeville-lès-Saint-Avold ,,
7908,Haute-Marne ; France,Longeville-sur-la-Laines ,,
7909,Vendée ; France,Longeville-sur-Mer ,,
7910,Aube ; France,Longeville-sur-Mogne ,,
7911,Doubs ; France,Longevilles-Mont-d\Or ,,
7912,Doubs ; France,Longeville ,,
7913,Moselle ; France,Longeville ,,
7914,Essonne ; France,Longjumeau ,,
7915,"Elbe, Île d’",Longone ,,
7916,Canada,Longueuil,Seigneurie ,
7917,Meurthe-et-Moselle ; France,Longuyon ,,
7918,Meurthe-et-Moselle ; France,Longwy ,,
7919,Chine,Longzhou ,,
7920,Vietnam,Long Chau,Îles ,
7921,Vietnam,Long Dai,Cours d\eau ,
7922,Vietnam,Long Dien ,,
7923,Vietnam,Long Duc ,,
7924,Vietnam,Long Giang ,,
7925,Vietnam,Long My/Tra On,Canal ,
7926,Ba Ria ; Vietnam,Long Phuoc ,,
7927,Binh Thuan ; Vietnam,Long Phuoc ,,
7928,Vietnam,Long Phu ,,
7929,Chine,Long Tcheou/Nanning,Voie ferrée ,
7930,Chine,Long Tcheou ,,
7931,Long Xuyen ; Vietnam,Long Xuyen ,,
7932,Vietnam,Long Xuyen,Province ,
7933,Quang Nam ; Vietnam,Long Xuyen ,,
7934,Jura ; France,Lons-le-Saunier ,,
7935,Guinée,Loos,Îles de ,
7936,Nord ; France,Loos ,,
7937,Thaïlande,Lopburi ,,
7938,"Vanuatu, Archipel du",Lopévi,Île ,
7939,Gabon,Lopez,Cap ,
7940,Gabon,Lopez,Île ,
7941,Gabon,Lopé,Cours d’eau ,
7942,Belgique,Loppem ,,
7943,"Cap-Breton, Île du",Lorembec,Plaine du ,
7944,Bas-Rhin ; France,Lorentzen ,,
7945,Canada,Loretteville ,,
7946,Canada,Lorette ,,
7947,Var ; France,Lorgues ,,
7948,Morbihan ; France,Lorient ,,
7949,"Saint-Barthélemy, Île",Lorient ,,
7950,Charente-Maritime ; France,Lorignac ,,
7951,Deux-Sèvres ; France,Lorigné ,,
7952,France,Lorraine,Région géographique ,
7953,Louisiane ; États-Unis,Los Adaes ,,
7954,France,Lot-et-Garonne,Département ,
7955,Canada,Lotbinière,Seigneurie ,
7956,France,Lot,Cours d\eau ,
7957,France,Lot,Département ,
7958,Algérie,Louach,Cours d\eau ,
7959,Bénin,Louba ,,
7960,Gironde ; France,Loubens ,,
7961,Gers ; France,Loubersan ,,
7962,Lot-et-Garonne ; France,Loubès-Bernac ,,
7963,Deux-Sèvres ; France,Loubillé ,,
7964,République du Congo,Loubomo,Cours d\eau ,
7965,République du Congo,Loubomo ,,
7966,Algérie,Loudalouze ,,
7967,Côtes-d\'Armor ; France,Loudéac ,,
7968,République du Congo,Loudima/Pointe-Noire,Voie ferrée ,
7969,République du Congo,Loudima,Cours d\eau ,
7970,République du Congo,Loudima ,,
7971,République du Congo,Loudima,Subdivision ,
7972,Tennessee ; États-Unis,Loudon,Fort ,
7973,Tennessee ; États-Unis,Loudoun,Fort ,
7974,Vienne ; France,Loudun ,,
7975,Sarthe ; France,Loué ,,
7976,Sénégal,Louga,Cercle ,
7977,Sénégal,Louga ,,
7978,Bénin,Lougba ,,
7979,Algérie,Lougman ,,
7980,Algérie,Louhou ,,
7981,Corrèze ; France,Louignac ,,
7982,"Cap-Breton, Île du",Louisbourg ,,
7983,Canada,Louiseville ,,
7984,,Louisiane,Colonie espagnole,
7985,,Louisiane,Colonie française,
7986,États-Unis,Louisiane,État ,
7987,Biloxi ; Mississippi ; États-Unis,Louis,Fort ,
7988,"Fort-de-France ; Martinique, Île de la",Louis,Fort ,
7989,"Le Gosier ; Guadeloupe, Île de la",Louis,Fort ,
7990,Mobile ; Alabama ; États-Unis,Louis,Fort ,
7991,République du Congo,Loukoléla ,,
7992,République du Congo,Loulombo ,,
7993,Cameroun,Loum/Manjo,Route ,
7994,Cameroun,Loum/N\Kongsamba,Route ,
7995,Hérault ; France,Loupian ,,
7996,Hautes-Pyrénées ; France,Lourdes ,,
7997,Algérie,Lourmel ,,
7998,République du Congo,Loussala ,,
7999,République du Congo,Loutété ,,
8000,Belgique,Louvain ,,
8001,Haute-Marne ; France,Louvemont ,,
8002,Ardennes ; France,Louvergny ,,
8003,Eure ; France,Louviers ,,
8004,Nord ; France,Louvignies-Quesnoy ,,
8005,Moselle ; France,Louvigny ,,
8006,République du Congo,Louvila ,,
8007,Thaïlande,Louvo ,,
8008,Val-d\'Oise ; France,Louvres ,,
8009,Algérie,Loverdo ,,
8010,Djibouti,Loyada ,,
8011,"Nouvelle-Calédonie, Île de la",Loyauté,Îles ,
8012,Remire-Monjoly ; Guyane française,Loyola,Habitation ,
8013,Côte d\'Ivoire,Loza,Lagune de ,
8014,France,Lozère,Département ,
8015,Angola,Luanda ,,
8016,Laos/Vietnam,Luang Prabang/Phu Dien,Route ,
8017,Laos,Luang Prabang/Vientiane,Route ,
8018,Laos,Luang Prabang ,,
8019,Laos,Luang Prabang,Province ,
8020,Laos,Luang Prabang,Royaume ,
8021,Indre ; France,Luant ,,
8022,Pologne,Lublin ,,
8023,République démocratique du Congo,Lubumbashi ,,
8024,Guyane française,Lucas,Montagne ,
8025,Suisse,Lucerne ,,
8026,Algérie,Lucet ,,
8027,Inde,Lucknow ,,
8028,Vendée ; France,Luçon ,,
8029,Vietnam,Luc Nam,Province ,
8030,Vietnam,Luc Yen ,,
8031,Gironde ; France,Ludon-Médoc ,,
8032,Allemagne,Lübeck ,,
8033,Landes ; France,Luglon ,,
8034,Haute-Corse ; France,Lugo-di-Nazza ,,
8035,Haute-Savoie ; France,Lugrin ,,
8036,Nigeria,Lukodja ,,
8037,Haute-Corse ; France,Lumio ,,
8038,Hérault ; France,Lunel ,,
8039,Meurthe-et-Moselle ; France,Lunéville ,,
8040,Vietnam,Luong Quan ,,
8041,Vietnam,Luong Tam ,,
8042,Vietnam,Luong Yen ,,
8043,Haute-Saône ; France,Lure ,,
8044,Loire ; France,Luré ,,
8045,Vienne ; France,Lusignan ,,
8046,Canada,Lussaudière,Seigneurie ,
8047,Algérie,Lutaud ,,
8048,Moselle ; France,Luttange ,,
8049,,Luxembourg,,
8050,Haute-Saône ; France,Luxeuil-les-Bains ,,
8051,Haute-Saône ; France,Luxeuil ,,
8052,Val-d’Oise ; France,Luzarches ,,
8053,Suisse,Luzern ,,
8054,"Philippines, Archipel des",Luzon,Île ,
8055,Haute-Marne ; France,Luzy-sur-Marne ,,
8056,Maroc,Lyautey ,,
8057,Nord ; France,Lynde ,,
8058,Sénégal,Lyndiane ,,
8059,France,Lyonnais,Région géographique ,
8060,Eure ; France,Lyons-la-Forêt ,,
8061,Rhône ; France,Lyon ,,
8062,"Martinique, Île de la",L\Abîme ,,
8063,"Léogane ; Saint-Domingue, Île de",L\Acul ,,
8064,"Saint-Domingue, Île de",L\Acul ,,
8065,Alger ; Algérie,L\Agha,Quartier ,
8066,La Verrière ; Yvelines ; France,L\Agiot ,,
8067,Orne ; France,L\Aigle ,,
8068,"Martinique, Île de la",L\Ajoupa-Bouillon ,,
8069,Pyrénées-Orientales ; France,L\Albère ,,
8070,Algérie,L\Alelik ,,
8071,Haut-Rhin ; France,L\Allemand-Rombach ,,
8072,Algérie,L\Alma ,,
8073,Canada,L\Anse-au-Loup ,,
8074,Algérie,L\Arba ,,
8075,"Saint-Domingue, Île de",L\Arcahaye ,,
8076,"Saint-Domingue, Île de",L\Asile ,,
8077,Canada,L\Assomption,Cours d\eau ,
8078,Canada,L\Assomption,Seigneurie ,
8079,"Guadeloupe, Île de la",L\Espérance,Montagne de ,
8080,"Saint-Domingue, Île de",L\Ester ,,
8081,"Réunion, Île de la",L\Étang-Salé ,,
8082,Algérie,L\Hillil ,,
8083,Gers ; France,L\Isle-de-Noé ,,
8084,Gers ; France,L\Isle-Jourdain ,,
8085,Vaucluse ; France,L\Isle-sur-la-Sorgue ,,
8086,Canada,L\Islet,Seigneurie ,
8087,Morbihan ; France,L\Orient ,,
8088,Algérie,L\Ouarsenis,Commune mixte ,
8089,"Le Gosier ; Guadeloupe, Île de la",L\Union,Fort ,
8090,Isère ; France,L’Alpe-d’Huez ,,
8091,Algérie,L’Arbaa Naït Irathen ,,
8092,Algérie,L’Hillil,Commune mixte ,
8093,Algérie,Maâdid ,,
8094,Algérie,Maâdid,Commune mixte ,
8095,Algérie,Maâlla ,,
8096,Algérie,Maâtka ,,
8097,Algérie,Maâziz ,,
8098,République du Congo,Mabirou,Subdivision ,
8099,Algérie,Mac-Mahon ,,
8100,Algérie,Mac-Mahon,Fort ,
8101,"Le Marin ; Martinique, Île de la",Macabout ,,
8102,"Le Marin ; Martinique, Île de la",Macabou ,,
8103,Chine,Macao ,,
8104,Brésil,Macapa ,,
8105,Brésil,Macary,Cours d\eau ,
8106,Brésil,Macary,Lac ,
8107,Brésil,Macary,Poste ,
8108,Chine,Macau ,,
8109,Algérie,Macdonald ,,
8110,,Macédoine,,
8111,Franklin ; Pennsylvanie ; États-Unis,Machault,Fort ,
8112,Inde,Machilipatnam ,,
8113,Haute-Corse ; France,Macinaggio ,,
8114,Mali,Macina,Canal du ,
8115,Mali,Macina,Cercle ,
8116,Mali,Macina ,,
8117,Mali,Macina,Région géographique ,
8118,Côte-d\'Or ; France,Maconge ,,
8119,Saône-et-Loire ; France,Mâcon ,,
8120,Jura ; France,Macornay ,,
8121,"Martinique, Île de la",Macouba ,,
