,Administration,NAME,Type,titre
7466,Canada,La Tour,Fort ,La TourFort (Canada)
7467,Charente-Maritime ; France,La Tremblade ,,La Tremblade (Charente-Maritime ; France)
7468,"Martinique, Île de la",La Trinité/Macouba,Voie ferrée ,La Trinité/MacoubaVoie ferrée (MartiniqueÎle de la)
7469,"Guadeloupe, Île de la",La Trinité,Cours d\'eau ,La TrinitéCours d\eau (GuadeloupeÎle de la)
7470,"Martinique, Île de la",La Trinité ,,La Trinité (MartiniqueÎle de la)
7471,Var ; France,La Valette-du-Var ,,La Valette-du-Var (Var ; France)
7472,"Malte, Île de",La Valette ,,La Valette (MalteÎle de)
7473,Yvelines ; France,La Verrière ,,La Verrière (Yvelines ; France)
7474,Essonne ; France,La Ville-du-Bois ,,La Ville-du-Bois (Essonne ; France)
7475,Côte-d\'Or ; France,La Villeneuve-les-Convers ,,La Villeneuve-les-Convers (Côte-d\Or ; France)
7476,Mitry-Mory ; Seine-et-Marne ; France,La Villette-aux-Aulnes ,,La Villette-aux-Aulnes (Mitry-Mory ; Seine-et-Marne ; France)
7477,"Jacmel ; Saint-Domingue, Île de",La Voûte,Habitation ,La VoûteHabitation (Jacmel ; Saint-DomingueÎle de)
7478,Guinée,Lébaya ,,Lébaya (Guinée)
7479,Mauritanie,Lébiar,Lieu-dit ,LébiarLieu-dit (Mauritanie)
7480,Haute-Marne ; France,Lecey ,,Lecey (Haute-Marne ; France)
7481,Côte-d\'Or ; France,Lechâtelet ,,Lechâtelet (Côte-d\Or ; France)
7482,Gabon,Léconi ,,Léconi (Gabon)
7483,Algérie,Lecourbe ,,Lecourbe (Algérie)
7484,"Saint-Pierre ; Martinique, île de la",Lecourbe,Habitation ,LecourbeHabitation (Saint-Pierre ; Martiniqueîle de la)
7485,Ille-et-Vilaine ; France,Lécousse ,,Lécousse (Ille-et-Vilaine ; France)
7486,Gers ; France,Lectoure ,,Lectoure (Gers ; France)
7487,Aveyron ; France,Lédergues ,,Lédergues (Aveyron ; France)
7488,Nord ; France,Lederzeele ,,Lederzeele (Nord ; France)
7489,Gard ; France,Lédignan ,,Lédignan (Gard ; France)
7490,Pays-Bas,Leeuwarden ,,Leeuwarden (Pays-Bas)
7491,République du Congo,Léfini,Cours d\'eau ,LéfiniCours d\eau (République du Congo)
7492,Loire-Atlantique ; France,Legé ,,Legé (Loire-Atlantique ; France)
7493,Algérie,Legrand ,,Legrand (Algérie)
7494,Allemagne,Lehen ,,Lehen (Allemagne)
7495,Allemagne,Leipzig ,,Leipzig (Allemagne)
7496,Bas-Rhin ; France,Leiterswiller ,,Leiterswiller (Bas-Rhin ; France)
7497,République du Congo,Lékana,Subdivision ,LékanaSubdivision (République du Congo)
7498,République du Congo,Lékéti ,,Lékéti (République du Congo)
7499,République du Congo,Lékoli,Cours d’eau ,LékoliCours d’eau (République du Congo)
7500,République du Congo,Lékona,Cours d\'eau ,LékonaCours d\eau (République du Congo)
7501,République du Congo,Lékondé/Loudima,Voie ferrée ,Lékondé/LoudimaVoie ferrée (République du Congo)
7502,République du Congo,Lékondé,Baie de ,LékondéBaie de (République du Congo)
7503,Gabon,Lékoni ,,Lékoni (Gabon)
7504,Gabon,Lélédi/N\'Djolé,Voie ferrée ,Lélédi/N\DjoléVoie ferrée (Gabon)
7505,"Les Cayes ; Saint-Domingue, Île de",Lemmens,Habitation ,LemmensHabitation (Les Cayes ; Saint-DomingueÎle de)
7506,Haute-Loire ; France,Lempdes ,,Lempdes (Haute-Loire ; France)
7507,République du Congo,Lengoué Moké,Cours d\'eau ,Lengoué MokéCours d\eau (République du Congo)
7508,Vietnam,Leng Sang ,,Leng Sang (Vietnam)
7509,Russie,Léningrad ,,Léningrad (Russie)
7510,Algérie,Lentia ,,Lentia (Algérie)
7511,"Saint-Domingue, Île de",Léogane ,,Léogane (Saint-DomingueÎle de)
7512,Espagne,Leon,Région géographique ,LeonRégion géographique (Espagne)
7513,Allemagne,Leopoldshafen ,,Leopoldshafen (Allemagne)
7514,République démocratique du Congo,Léopoldville ,,Léopoldville (République démocratique du Congo)
7515,Charente-Maritime ; France,Léoville ,,Léoville (Charente-Maritime ; France)
7516,Burkina Faso,Léraba,Cours d\'eau ,LérabaCours d\eau (Burkina Faso)
7517,Ariège ; France,Lercoul ,,Lercoul (Ariège ; France)
7518,Tchad,Léré/Logone,Route ,Léré/LogoneRoute (Tchad)
7519,Tchad,Léré,Subdivision ,LéréSubdivision (Tchad)
7520,Tchad,Léré ,,Léré (Tchad)
7521,Espagne,Lérida ,,Lérida (Espagne)
7522,Indre-et-Loire ; France,Lerné ,,Lerné (Indre-et-Loire ; France)
7523,Dordogne ; France,Les-Eyzies-de-Tayac-Sireuil ,,Les-Eyzies-de-Tayac-Sireuil (Dordogne ; France)
7524,Mauritanie,Lesbiar,Lieu-dit ,LesbiarLieu-dit (Mauritanie)
7525,Jura ; France,Leschères ,,Leschères (Jura ; France)
7526,Ain ; France,Lescheroux ,,Lescheroux (Ain ; France)
7527,Finistère ; France,Lesneven ,,Lesneven (Finistère ; France)
7528,Nord ; France,Lesquin ,,Lesquin (Nord ; France)
7529,Charente ; France,Lessac ,,Lessac (Charente ; France)
7530,Manche ; France,Lessay ,,Lessay (Manche ; France)
7531,République centrafricaine,Lessé,Cours d\'eau ,LesséCours d\eau (République centrafricaine)
7532,Loir-et-Cher ; France,Lestiou ,,Lestiou (Loir-et-Cher ; France)
7533,"Guadeloupe, Île de la",Les Abimes ,,Les Abimes (GuadeloupeÎle de la)
7534,"Guadeloupe, Île de la",Les Abymes ,,Les Abymes (GuadeloupeÎle de la)
7535,"Le Prêcheur ; Martinique, Île de la",Les Abymes ,,Les Abymes (Le Prêcheur ; MartiniqueÎle de la)
7536,Louisiane ; États-Unis,Les Adayes ,,Les Adayes (Louisiane ; États-Unis)
7537,Hérault ; France,Les Aires ,,Les Aires (Hérault ; France)
7538,Cher ; France,Les Aix-d\'Angillon ,,Les Aix-d\Angillon (Cher ; France)
7539,Louisiane ; États-Unis,Les Allemands,Lieu-dit ,Les AllemandsLieu-dit (Louisiane ; États-Unis)
7540,Yvelines ; France,Les Alluets-le-Roi ,,Les Alluets-le-Roi (Yvelines ; France)
7541,"Martinique, Île de la",Les Ances-d’Arlet ,,Les Ances-d’Arlet (MartiniqueÎle de la)
7542,Eure ; France,Les Andelys ,,Les Andelys (Eure ; France)
7543,"Saint-Domingue, Île de",Les Anglais ,,Les Anglais (Saint-DomingueÎle de)
7544,"Martinique, Île de la",Les Anses-d’Arlet ,,Les Anses-d’Arlet (MartiniqueÎle de la)
7545,Kourou ; Guyane française,Les Anses ,,Les Anses (Kourou ; Guyane française)
7546,"Saint-Domingue, Île de",Les Anses ,,Les Anses (Saint-DomingueÎle de)
7547,Algérie,Les Attafs ,,Les Attafs (Algérie)
7548,"Réunion, Île de la",Les Avirons ,,Les Avirons (RéunionÎle de la)
7549,,Les Bahamas',,Les Bahamas
7550,République du Congo,Les Bandas ,,Les Bandas (République du Congo)
7551,"Grand-Bourg ; Marie-Galante, Île",Les Basses ,,Les Basses (Grand-Bourg ; Marie-GalanteÎle)
7552,Haute-Saône ; France,Les Bâties ,,Les Bâties (Haute-Saône ; France)
7553,Algérie,Les Braz,Commune mixte ,Les BrazCommune mixte (Algérie)
7554,"Saint-Domingue, Île de",Les Cayes-du-Fond-de-l\'Île-à-Vache ,,Les Cayes-du-Fond-de-l\Île-à-Vache (Saint-DomingueÎle de)
7555,"Saint-Domingue, Île de",Les Cayes-Saint-Louis ,,Les Cayes-Saint-Louis (Saint-DomingueÎle de)
7556,"Saint-Domingue, Île de",Les Cayes ,,Les Cayes (Saint-DomingueÎle de)
7557,Orne ; France,Les Champeaux ,,Les Champeaux (Orne ; France)
7558,Savoie ; France,Les Chavannes-en-Maurienne ,,Les Chavannes-en-Maurienne (Savoie ; France)
7559,"Guadeloupe, Île de la",Les Citronniers,Lieu-dit ,Les CitronniersLieu-dit (GuadeloupeÎle de la)
7560,"Saint-Domingue, Île de",Les Côteaux ,,Les Côteaux (Saint-DomingueÎle de)
7561,Algérie,Les Djalis ,,Les Djalis (Algérie)
7562,"Limonade ; Saint-Domingue, Île de",Les Écrevisses,Habitation ,Les ÉcrevissesHabitation (Limonade ; Saint-DomingueÎle de)
7563,Meuse ; France,Les Éparges ,,Les Éparges (Meuse ; France)
7564,Alger ; Algérie,Les Eucalyptus,Quartier ,Les EucalyptusQuartier (Alger ; Algérie)
7565,Algérie,Les Eulma,Commune mixte ,Les EulmaCommune mixte (Algérie)
7566,"Saint-Domingue, Île de",Les Fourcqs ,,Les Fourcqs (Saint-DomingueÎle de)
7567,Doubs ; France,Les Fourgs ,,Les Fourgs (Doubs ; France)
7568,Algérie,Les Frênes ,,Les Frênes (Algérie)
7569,"Saint-Domingue, Île de",Les Gonaïves ,,Les Gonaïves (Saint-DomingueÎle de)
7570,"Guadeloupe, Île de la",Les Habitants ,,Les Habitants (GuadeloupeÎle de la)
7571,Guyane française,Les Hattes,Camp ,Les HattesCamp (Guyane française)
7572,Lozère ; France,Les Hermaux ,,Les Hermaux (Lozère ; France)
7573,Algérie,Les Heumis ,,Les Heumis (Algérie)
7574,Algérie,Les Heuraouas ,,Les Heuraouas (Algérie)
7575,Algérie,Les Issers ,,Les Issers (Algérie)
7576,Marne ; France,Les Istres-et-Bury ,,Les Istres-et-Bury (Marne ; France)
7577,Algérie,Les Lacs ,,Les Lacs (Algérie)
7578,Algérie,Les Libérés ,,Les Libérés (Algérie)
7579,Algérie,Les Maâdid,Commune mixte ,Les MaâdidCommune mixte (Algérie)
7580,Haute-Saône ; France,Les Magny ,,Les Magny (Haute-Saône ; France)
7581,,Les Maldives',,Les Maldives
7582,Bouches-du-Rhône ; France,Les Martigues ,,Les Martigues (Bouches-du-Rhône ; France)
7583,Canada,Les Mines ,,Les Mines (Canada)
7584,Essonne ; France,Les Molières ,,Les Molières (Essonne ; France)
7585,Yvelines ; France,Les Mureaux ,,Les Mureaux (Yvelines ; France)
7586,Algérie,Les Ouadhia,Commune mixte ,Les OuadhiaCommune mixte (Algérie)
7587,"Gourbeyre ; Guadeloupe, Île de la",Les Palmistes ,,Les Palmistes (Gourbeyre ; GuadeloupeÎle de la)
7588,Algérie,Les Pêcheurs ,,Les Pêcheurs (Algérie)
7589,,Les Philippines',,Les Philippines
7590,"Anse-à-Veau ; Saint-Domingue, Île de",Les Pins ,,Les Pins (Anse-à-Veau ; Saint-DomingueÎle de)
7591,"Martinique, Île de la",Les Pitons,Montagne ,Les PitonsMontagne (MartiniqueÎle de la)
7592,Guyane française,Les Roches,Camp ,Les RochesCamp (Guyane française)
7593,Vendée ; France,Les Sables-d\'Olonne ,,Les Sables-d\Olonne (Vendée ; France)
7594,"Sainte-Anne ; Guadeloupe, Île de la",Les Salines ,,Les Salines (Sainte-Anne ; GuadeloupeÎle de la)
7595,Haute-Vienne ; France,Les Salles-Lavauguyon ,,Les Salles-Lavauguyon (Haute-Vienne ; France)
7596,Algérie,Les Santons ,,Les Santons (Algérie)
7597,République du Congo,Les Saras ,,Les Saras (République du Congo)
7598,"Grenade, Île de",Les Sauteurs ,,Les Sauteurs (GrenadeÎle de)
7599,"Léogane ; Saint-Domingue, Île de",Les Sources ,,Les Sources (Léogane ; Saint-DomingueÎle de)
7600,Eure ; France,Les Thilliers-en-Vexin ,,Les Thilliers-en-Vexin (Eure ; France)
7601,Alger ; Algérie,Les Trembles ,,Les Trembles (Alger ; Algérie)
7602,Oran ; Algérie,Les Trembles ,,Les Trembles (Oran ; Algérie)
7603,"Martinique, Île de la",Les Trois-Bourgs ,,Les Trois-Bourgs (MartiniqueÎle de la)
7604,"Martinique, Île de la",Les Trois-Îlets ,,Les Trois-Îlets (MartiniqueÎle de la)
7605,"Martinique, Île de la",Les Trois Islets ,,Les Trois Islets (MartiniqueÎle de la)
7606,"Guadeloupe, Île de la",Les Trois Rivières ,,Les Trois Rivières (GuadeloupeÎle de la)
7607,Ardèche ; France,Les Vans ,,Les Vans (Ardèche ; France)
7608,"L\'Arcahaye ; Saint-Domingue, Île de",Les Vases ,,Les Vases (L\Arcahaye ; Saint-DomingueÎle de)
7609,"Saint-Marc ; Saint-Domingue, Île de",Les Vases ,,Les Vases (Saint-Marc ; Saint-DomingueÎle de)
7610,"Dondon ; Saint-Domingue, Île de",Les Vaseux ,,Les Vaseux (Dondon ; Saint-DomingueÎle de)
7611,Algérie,Les Zardezas ,,Les Zardezas (Algérie)
7612,Algérie,Letourneux ,,Letourneux (Algérie)
7613,,Lettonie',,Lettonie
7614,Bas-Rhin ; France,Leutenheim ,,Leutenheim (Bas-Rhin ; France)
7615,,Leuven',,Leuven
7616,Algérie,Levacher ,,Levacher (Algérie)
7617,Hauts-de-Seine ; France,Levallois-Perret ,,Levallois-Perret (Hauts-de-Seine ; France)
7618,,Levant,Échelles du',LevantÉchelles du
7619,,Levant,Région géographique',LevantRégion géographique
7620,Algérie,Levasseur ,,Levasseur (Algérie)
7621,"Martinique, Île de la",Levassor,Canal ,LevassorCanal (MartiniqueÎle de la)
7622,"Martinique, Île de la",Levassor,Cours d\'eau ,LevassorCours d\eau (MartiniqueÎle de la)
7623,Hussein Dey ; Algérie,Léveilley,Quartier ,LéveilleyQuartier (Hussein Dey ; Algérie)
7624,Eure-et-Loir ; France,Lèves ,,Lèves (Eure-et-Loir ; France)
7625,Doubs ; France,Levier ,,Levier (Doubs ; France)
7626,New York ; États-Unis,Lévis,Fort ,LévisFort (New York ; États-Unis)
7627,Canada,Lévrard,Seigneurie ,LévrardSeigneurie (Canada)
7628,Ardennes ; France,Levrezy ,,Levrezy (Ardennes ; France)
7629,Mauritanie,Lévrier,Baie du ,LévrierBaie du (Mauritanie)
7630,Indre ; France,Levroux ,,Levroux (Indre ; France)
7631,Sénégal,Leybar ,,Leybar (Sénégal)
7632,"Martinique, Île de la",Lézarde Rivière,Cours d\'eau ,Lézarde RivièreCours d\eau (MartiniqueÎle de la)
7633,"Martinique, Île de la",Lézarde,Cours d\'eau ,LézardeCours d\eau (MartiniqueÎle de la)
7634,Côtes-d’Armor ; France,Lézardrieux ,,Lézardrieux (Côtes-d’Armor ; France)
7635,Deux-Sèvres ; France,Lezay ,,Lezay (Deux-Sèvres ; France)
7636,Maine-et-Loire ; France,Lézigné ,,Lézigné (Maine-et-Loire ; France)
7637,Puy-de-Dôme ; France,Lezoux ,,Lezoux (Puy-de-Dôme ; France)
7638,"Guadeloupe, Île de la",Le Baillif ,,Le Baillif (GuadeloupeÎle de la)
7639,"Guadeloupe, Île de la",Le Bananier ,,Le Bananier (GuadeloupeÎle de la)
7640,Var ; France,Le Beausset ,,Le Beausset (Var ; France)
7641,Indre ; France,Le Blanc ,,Le Blanc (Indre ; France)
7642,Waterford ; Pennsylvanie ; États-Unis,Le Boeuf,Fort ,Le BoeufFort (Waterford ; Pennsylvanie ; États-Unis)
7643,Cambodge,Le Bokor ,,Le Bokor (Cambodge)
7644,"Saint-Domingue, Île de",Le Borgne ,,Le Borgne (Saint-DomingueÎle de)
7645,Ariège ; France,Le Bosc ,,Le Bosc (Ariège ; France)
7646,"L\'Arcahaye ; Saint-Domingue, Île de",Le Boucassin ,,Le Boucassin (L\Arcahaye ; Saint-DomingueÎle de)
7647,Haute-Loire ; France,Le Bouchet-Saint-Nicolas ,,Le Bouchet-Saint-Nicolas (Haute-Loire ; France)
7648,Isère ; France,Le Bourg-d\'Oisans ,,Le Bourg-d\Oisans (Isère ; France)
7649,Dordogne ; France,Le Bugue ,,Le Bugue (Dordogne ; France)
7650,Égypte,Le Caire ,,Le Caire (Égypte)
7651,Canada,Le Cap ,,Le Cap (Canada)
7652,"Saint-Domingue, Île de",Le Cap ,,Le Cap (Saint-DomingueÎle de)
7653,Algérie,Le Caravansérail ,,Le Caravansérail (Algérie)
7654,"Martinique, Île de la",Le Carbet/Saint-Pierre,Route ,Le Carbet/Saint-PierreRoute (MartiniqueÎle de la)
7655,"Guadeloupe, Île de la",Le Carbet,Cours d\'eau ,Le CarbetCours d\eau (GuadeloupeÎle de la)
7656,"Martinique, Île de la",Le Carbet,Cours d\'eau ,Le CarbetCours d\eau (MartiniqueÎle de la)
7657,"Martinique, Île de la",Le Carbet ,,Le Carbet (MartiniqueÎle de la)
7658,"Sainte-Lucie, Île",Le Carénage ,,Le Carénage (Sainte-LucieÎle)
7659,Alpes-de-Haute-Provence ; France,Le Castellard-Mélan ,,Le Castellard-Mélan (Alpes-de-Haute-Provence ; France)
7660,Var ; France,Le Castellet ,,Le Castellet (Var ; France)
7661,Nord ; France,Le Cateau-Cambrésis ,,Le Cateau-Cambrésis (Nord ; France)
7662,Drôme ; France,Le Chaffal ,,Le Chaffal (Drôme ; France)
7663,Charente-Maritime ; France,Le Château-d\'Oléron ,,Le Château-d\Oléron (Charente-Maritime ; France)
7664,Creuse ; France,Le Chauchet ,,Le Chauchet (Creuse ; France)
7665,"Saint-Denis ; Réunion, Île de la",Le Chaudron ,,Le Chaudron (Saint-Denis ; RéunionÎle de la)
7666,Ardennes ; France,Le Chesne-Populeux ,,Le Chesne-Populeux (Ardennes ; France)
7667,Vosges ; France,Le Clerjus ,,Le Clerjus (Vosges ; France)
7668,"Marie-Galante, Île",Le Colombier,Habitation ,Le ColombierHabitation (Marie-GalanteÎle)
7669,Finistère ; France,Le Conquet ,,Le Conquet (Finistère ; France)
7670,Algérie,Le Corso ,,Le Corso (Algérie)
7671,La Teste-de-Buch ; Gironde ; France,Le Courneau ,,Le Courneau (La Teste-de-Buch ; Gironde ; France)
7672,Saône-et-Loire ; France,Le Creusot ,,Le Creusot (Saône-et-Loire ; France)
7673,Loire-Atlantique ; France,Le Croisic ,,Le Croisic (Loire-Atlantique ; France)
7674,Jura ; France,Le Deschaux ,,Le Deschaux (Jura ; France)
7675,"Martinique, Île de la",Le Diamant ,,Le Diamant (MartiniqueÎle de la)
7676,Haute-Vienne ; France,Le Dorat ,,Le Dorat (Haute-Vienne ; France)
7677,Morbihan ; France,Le Faouët ,,Le Faouët (Morbihan ; France)
7678,Finistère ; France,Le Faou ,,Le Faou (Finistère ; France)
7679,Oise ; France,Le Fay-Saint-Quentin ,,Le Fay-Saint-Quentin (Oise ; France)
7680,Oise ; France,Le Fayel ,,Le Fayel (Oise ; France)
7681,Algérie,Le Figuier ,,Le Figuier (Algérie)
7682,Algérie,Le Fondouk ,,Le Fondouk (Algérie)
7683,"Grand-Bourg ; Marie-Galante, Île",Le Fort ,,Le Fort (Grand-Bourg ; Marie-GalanteÎle)
7684,"Grenade, Île de",Le Fort ,,Le Fort (GrenadeÎle de)
7685,"Anse-à-Veau ; Saint-Domingue, Île de",Le Fourcq ,,Le Fourcq (Anse-à-Veau ; Saint-DomingueÎle de)
7686,Calvados ; France,Le Fournet ,,Le Fournet (Calvados ; France)
7687,"Martinique, Île de la",Le François/Le Lamentin,Route ,Le François/Le LamentinRoute (MartiniqueÎle de la)
7688,"Martinique, Île de la",Le François ,,Le François (MartiniqueÎle de la)
7689,"Guadeloupe, Île de la",Le Galion,Cours d\'eau ,Le GalionCours d\eau (GuadeloupeÎle de la)
7690,"La Trinité ; Martinique, Île de la",Le Galion ,,Le Galion (La Trinité ; MartiniqueÎle de la)
7691,"Guadeloupe, Île de la",Le Gosier ,,Le Gosier (GuadeloupeÎle de la)
7692,"Guadeloupe, Île de la",Le Gozier ,,Le Gozier (GuadeloupeÎle de la)
7693,Isère ; France,Le Grand-Lemps ,,Le Grand-Lemps (Isère ; France)
7694,Sarthe ; France,Le Grand-Lucé ,,Le Grand-Lucé (Sarthe ; France)
7695,"Martinique, Île de la",Le Gros-Morne ,,Le Gros-Morne (MartiniqueÎle de la)
7696,Algérie,Le Guelta ,,Le Guelta (Algérie)
7697,Algérie,Le Hamma ,,Le Hamma (Algérie)
7698,Alger ; Algérie,Le Hamma,Quartier ,Le HammaQuartier (Alger ; Algérie)
7699,Seine-Maritime ; France,Le Havre-de-Grâce ,,Le Havre-de-Grâce (Seine-Maritime ; France)
7700,Seine-Maritime ; France,Le Havre ,,Le Havre (Seine-Maritime ; France)
7701,Bas-Rhin ; France,Le Hohwald ,,Le Hohwald (Bas-Rhin ; France)
7702,Tunisie,Le Kef ,,Le Kef (Tunisie)
7703,Algérie,Le Khroub ,,Le Khroub (Algérie)
7704,Algérie,Le Kouif ,,Le Kouif (Algérie)
7705,Algérie,Le Kreider ,,Le Kreider (Algérie)
7706,Val-de-Marne ; France,Le Kremlin-Bicêtre ,,Le Kremlin-Bicêtre (Val-de-Marne ; France)
7707,Tchad,Le Lac,Subdivision ,Le LacSubdivision (Tchad)
7708,"Martinique, Île de la",Le Lamentin,Cours d\'eau ,Le LamentinCours d\eau (MartiniqueÎle de la)
7709,"Martinique, Île de la",Le Lamentin ,,Le Lamentin (MartiniqueÎle de la)
7710,Matoury ; Guyane française,Le Larivot ,,Le Larivot (Matoury ; Guyane française)
7711,Alpes-de-Haute-Provence,Le Lauzet-Ubaye ,,Le Lauzet-Ubaye (Alpes-de-Haute-Provence)
7712,Var ; France,Le Lavandou ,,Le Lavandou (Var ; France)
7713,Côtes-d\'Armor ; France,Le Légué ,,Le Légué (Côtes-d\Armor ; France)
7714,"Martinique, Île de la",Le Lorrain ,,Le Lorrain (MartiniqueÎle de la)
7715,Var ; France,Le Luc ,,Le Luc (Var ; France)
7716,"Petit-Canal ; Guadeloupe, Île de la",Le Mancenillier ,,Le Mancenillier (Petit-Canal ; GuadeloupeÎle de la)
7717,Sarthe ; France,Le Mans ,,Le Mans (Sarthe ; France)
7718,"Martinique, Île de la",Le Marigot/Sainte-Marie,Route ,Le Marigot/Sainte-MarieRoute (MartiniqueÎle de la)
7719,"Martinique, Île de la",Le Marigot ,,Le Marigot (MartiniqueÎle de la)
7720,"Saint-Martin, Île",Le Marigot ,,Le Marigot (Saint-MartinÎle)
7721,"Vieux-Habitants ; Guadeloupe, Île de la",Le Marigot ,,Le Marigot (Vieux-Habitants ; GuadeloupeÎle de la)
7722,"Martinique, Île de la",Le Marin/Rivière-Pilote,Route ,Le Marin/Rivière-PiloteRoute (MartiniqueÎle de la)
7723,"Martinique, Île de la",Le Marin ,,Le Marin (MartiniqueÎle de la)
7724,"Guadeloupe, Île de la",Le Marquisat ,,Le Marquisat (GuadeloupeÎle de la)
7725,Allier ; France,Le Mayet-d\'École ,,Le Mayet-d\École (Allier ; France)
7726,Côtes-d\'Armor ; France,Le Merzer ,,Le Merzer (Côtes-d\Armor ; France)
7727,Manche ; France,Le Mesnillard ,,Le Mesnillard (Manche ; France)
7728,Aveyron ; France,Le Monastère ,,Le Monastère (Aveyron ; France)
7729,Haute-Loire ; France,Le Monastier-sur-Gazeille ,,Le Monastier-sur-Gazeille (Haute-Loire ; France)
7730,Hautes-Alpes ; France,Le Monêtier-les-Bains ,,Le Monêtier-les-Bains (Hautes-Alpes ; France)
7731,"Nouvelle-Calédonie, Île de la",Le Mont-Dore ,,Le Mont-Dore (Nouvelle-CalédonieÎle de la)
7732,Manche ; France,Le Mont-Saint-Michel ,,Le Mont-Saint-Michel (Manche ; France)
7733,Creuse ; France,Le Monteil-au-Vicomte ,,Le Monteil-au-Vicomte (Creuse ; France)
7734,Cantal ; France,Le Monteil ,,Le Monteil (Cantal ; France)
7735,Haute-Loire ; France,Le Monteil ,,Le Monteil (Haute-Loire ; France)
7736,"Martinique, Île de la",Le Morne-Rouge ,,Le Morne-Rouge (MartiniqueÎle de la)
7737,"Martinique, Île de la",Le Morne-Vert ,,Le Morne-Vert (MartiniqueÎle de la)
7738,"Saint-Pierre ; Martinique, Île de la",Le Mouillage,Quartier ,Le MouillageQuartier (Saint-Pierre ; MartiniqueÎle de la)
7739,"Guadeloupe, Île de la",Le Moule/Pointe-à-Pitre,Voie ferrée ,Le Moule/Pointe-à-PitreVoie ferrée (GuadeloupeÎle de la)
7740,"Guadeloupe, Île de la",Le Moule ,,Le Moule (GuadeloupeÎle de la)
7741,Aisne ; France,Le Nouvion-en-Thiérache ,,Le Nouvion-en-Thiérache (Aisne ; France)
7742,"Saint-Claude ; Guadeloupe, Île de la",Le Parc ,,Le Parc (Saint-Claude ; GuadeloupeÎle de la)
7743,Loire-Atlantique ; France,Le Pellerin ,,Le Pellerin (Loire-Atlantique ; France)
7744,Guyane française,Le Père,Îlet ,Le PèreÎlet (Guyane française)
7745,Indre ; France,Le Pin ,,Le Pin (Indre ; France)
7746,Grèce,Le Pirée ,,Le Pirée (Grèce)
7747,Ariège ; France,Le Pla ,,Le Pla (Ariège ; France)
7748,Val-d’Oise ; France,Le Plessis-Bouchard ,,Le Plessis-Bouchard (Val-d’Oise ; France)
7749,Seine-et-Marne ; France,Le Plessis-l\'Évêque ,,Le Plessis-l\Évêque (Seine-et-Marne ; France)
7750,"Réunion, Île de la",Le Port ,,Le Port (RéunionÎle de la)
7751,"Martinique, Île de la",Le Prêcheur ,,Le Prêcheur (MartiniqueÎle de la)
7752,Haute-Loire ; France,Le Puy-en-Velay ,,Le Puy-en-Velay (Haute-Loire ; France)
7753,Maine-et-Loire ; France,Le Puy-Notre-Dame ,,Le Puy-Notre-Dame (Maine-et-Loire ; France)
7754,Pas-de-Calais ; France,Le Quesnoy-en-Artois ,,Le Quesnoy-en-Artois (Pas-de-Calais ; France)
7755,Nord ; France,Le Quesnoy ,,Le Quesnoy (Nord ; France)
7756,Somme ; France,Le Quesnoy ,,Le Quesnoy (Somme ; France)
7757,Mayenne ; France,Le Ribay ,,Le Ribay (Mayenne ; France)
7758,"Martinique, Île de la",Le Robert ,,Le Robert (MartiniqueÎle de la)
7759,"Martinique, Île de la",Le Sud ,,Le Sud (MartiniqueÎle de la)
7760,"Réunion, Île de la",Le Tampon ,,Le Tampon (RéunionÎle de la)
7761,Algérie,Le Tarf ,,Le Tarf (Algérie)
7762,Ardèche ; France,Le Teil ,,Le Teil (Ardèche ; France)
7763,Algérie,Le Telagh ,,Le Telagh (Algérie)
7764,Algérie,Le Telagh,Arrondissement ,Le TelaghArrondissement (Algérie)
7765,Alger ; Algérie,Le Telemly,Quartier ,Le TelemlyQuartier (Alger ; Algérie)
7766,Loire-Atlantique ; France,Le Temple-de-Bretagne ,,Le Temple-de-Bretagne (Loire-Atlantique ; France)
7767,Lot-et-Garonne ; France,Le Temple-sur-Lot ,,Le Temple-sur-Lot (Lot-et-Garonne ; France)
7768,Deux-Sèvres ; France,Le Temple ,,Le Temple (Deux-Sèvres ; France)
7769,Gironde ; France,Le Temple ,,Le Temple (Gironde ; France)
7770,Loir-et-Cher ; France,Le Temple ,,Le Temple (Loir-et-Cher ; France)
7771,Vietnam,Le Thuy ,,Le Thuy (Vietnam)
7772,Isère ; France,Le Touvet ,,Le Touvet (Isère ; France)
7773,Canada,Le Tremblay,Seigneurie ,Le TremblaySeigneurie (Canada)
7774,Haute-Saône ; France,Le Tremblois ,,Le Tremblois (Haute-Saône ; France)
7775,Seine-Maritime ; France,Le Tréport ,,Le Tréport (Seine-Maritime ; France)
7776,"Saint-Domingue, Île de",Le Trou ,,Le Trou (Saint-DomingueÎle de)
7777,Vosges ; France,Le Val-d\'Ajol ,,Le Val-d\Ajol (Vosges ; France)
7778,Manche ; France,Le Val-Saint-Père ,,Le Val-Saint-Père (Manche ; France)
7779,"Martinique, Île de la",Le Vasseur,Cours d\'eau ,Le VasseurCours d\eau (MartiniqueÎle de la)
7780,"Martinique, Île de la",Le Vauclin ,,Le Vauclin (MartiniqueÎle de la)
7781,Gard ; France,Le Vigan ,,Le Vigan (Gard ; France)
7782,Sarthe ; France,Lhomme ,,Lhomme (Sarthe ; France)
7783,Burkina Faso,Liaba ,,Liaba (Burkina Faso)
7784,Oise ; France,Liancourt ,,Liancourt (Oise ; France)
7785,,Liban',,Liban
